Sentences,File location,gloss_sequence,signer_id,sample_id
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (3).MP4,I TRUST YOU HOW ,2,ISL_0130_S2
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (2).MP4,YOU TRY UNDERSTAND,6,ISL_0358_S6
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (3).MP4,OUTSIDE GO ,0,ISL_0325_S0
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (5).MP4,I TRUST YOU HOW ,4,ISL_0132_S4
we are all with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6957.MP4,WE ALL WITH YOU,5,ISL_0367_S5
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,0,ISL_0247_S0
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (3).MP4, YOU CRY WHY,2,ISL_0433_S2
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (2).MP4,SPEAK SOFTLY,1,ISL_0328_S1
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (5).MP4,MY NAME XXXXXXXX,5,ISL_0294_S5
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (5).MP4,I GOT HURT,1,ISL_0248_S1
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoyed.MP4,I ENJOYED A LOT,4,ISL_0244_S4
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,I HELP YOU,6,ISL_0021_S6
i am crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying (7).MP4,I CRY,0,ISL_0158_S0
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (4).MP4,DONOT WORRY,1,ISL_0068_S1
i am (age),ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (2).MP4,I OLD,6,ISL_0145_S6
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid (4).MP4,I AFRAID THAT,1,ISL_0151_S1
"you need a medicine, take this one","ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine (5).MP4","YOU NEED A MEDICINE, TAKE THIS ONE",1,ISL_0470_S1
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (6).MP4,THANK YOU SO MUCH,4,ISL_0347_S4
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse.MP4, HIM ABUSE DONOT,4,ISL_0050_S4
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (3).MP4,YOU GOOD,4,ISL_0449_S4
i can not help you there,ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6725.MP4,I  HELP NOT,1,ISL_0221_S1
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (5).MP4,YOU WHO ,5,ISL_0425_S5
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (4).MP4,I PROMISE,5,ISL_0257_S5
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (3).MP4, I HELP YOU HOW,1,ISL_0124_S1
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid.MP4,I AFRAID THAT,5,ISL_0153_S5
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid (2).MP4,I AFRAID THAT,4,ISL_0149_S4
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting.MP4,I SITTING CLASS,6,ISL_0198_S6
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care (2).MP4","YOU DO ANYTHING, I DONOT CARE",2,ISL_0465_S2
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (4).MP4,I FEVER SUFFERING  ,5,ISL_0206_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (6).MP4,YOU WANT WHAT ,0,ISL_0412_S0
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (2).MP4,HE COMING TODAY,5,ISL_0105_S5
i am hungry,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (5).MP4,I HUNGRY,0,ISL_0176_S0
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6685.MP4,YOU HIDE SOMETHING,2,ISL_0008_S2
when will the train leave,ISL_CSLRT_Corpus\Videos_Sentence_Level\when will the train leave\leave (3).MP4, TRAIN LEAVE WHEN,4,ISL_0414_S4
had your food,ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (5).MP4, FOOD HAD,1,ISL_0084_S1
what do you want to become,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become (5).MP4,WHAT DO YOU WANT BECOME,2,ISL_0395_S2
i am very happy,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (3).MP4,I VERY HAPPY,6,ISL_0215_S6
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (4).MP4,I FEVER SUFFERING  ,6,ISL_0206_S6
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\really sure (4).MP4,I  REALLY NOT SURE,6,ISL_0187_S6
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (4).MP4,YOU WHO ,4,ISL_0424_S4
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (2).MP4,NOW ONWARDS HE HURT YOU NEVER ,4,ISL_0301_S4
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (5).MP4,I HELP YOU,5,ISL_0020_S5
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time.MP4,LET HIM TAKE TIME,4,ISL_0289_S4
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoyed (4).MP4,I ENJOYED A LOT,5,ISL_0243_S5
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (3).MP4,THANK YOU SO MUCH,5,ISL_0344_S5
what have you planned for your career,ISL_CSLRT_Corpus\Videos_Sentence_Level\what have you planned for your career\MVI_6499.MP4, YOU PLAN CAREER WHAT,4,ISL_0402_S4
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (2).MP4,DO  FAVOUR ME,3,ISL_0042_S3
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (3).MP4,YOU BAD,0,ISL_0443_S0
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (2).MP4,FOOD SERVE ,0,ISL_0316_S0
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (4).MP4,SPEAK SOFTLY,3,ISL_0330_S3
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (2).MP4,I PROMISE,3,ISL_0255_S3
prepare the bed,ISL_CSLRT_Corpus\Videos_Sentence_Level\prepare the bed\bed (5).MP4,PREPARE BED,5,ISL_0314_S5
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (3).MP4,DO  FAVOUR ME,4,ISL_0043_S4
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly.MP4,SPEAK SOFTLY,1,ISL_0333_S1
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (6).MP4,YOU WHO ,4,ISL_0426_S4
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,I TIRED,4,ISL_0212_S4
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (4).MP4,CONGRATULATIIONS,4,ISL_0033_S4
what did you tell him,ISL_CSLRT_Corpus\Videos_Sentence_Level\what did you tell him\tell him (2).MP4, YOU TELL HIM WHAT,3,ISL_0379_S3
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (4).MP4,NOW ONWARDS HE HURT YOU NEVER ,2,ISL_0303_S2
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things.MP4, THINGS HOW,5,ISL_0123_S5
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (4).MP4,NICE MEET YOU,0,ISL_0297_S0
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (3).MP4,HE ON THE WAY,1,ISL_0097_S1
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt (2).MP4, SHIRT WEAR,1,ISL_0368_S1
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry.MP4,DONOT WORRY,2,ISL_0069_S2
i am in dilemma what to do,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (4).MP4,I DILEMMA WHAT TO DO,5,ISL_0181_S5
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow (4).MP4,I SOMEHOW GOT KNOW ABOUT IT,0,ISL_0267_S0
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse.MP4, HIM ABUSE DONOT,3,ISL_0050_S3
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (5).MP4,I SITTING CLASS,0,ISL_0197_S0
what is your phone number,ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (1).MP4, YOUR PHONE NUMBER WHAT,0,ISL_0403_S0
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (2).MP4,LET HIM TAKE TIME,2,ISL_0285_S2
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt.MP4, SHIRT WEAR,2,ISL_0372_S2
that is so kind of you,ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\MVI_6540.MP4, YOU KIND THAT,6,ISL_0350_S6
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (5).MP4,HE TRAIN CAME ,0,ISL_0089_S0
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference.MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,0,ISL_0279_S0
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,DO  FAVOUR ME,5,ISL_0046_S5
could you please talk slower,ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (3).MP4,YOU PLEASE TALK SLOWER,1,ISL_0037_S1
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (8).MP4,HELP ME,2,ISL_0114_S2
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (3).MP4,I FINE THANK YOU ,3,ISL_0170_S3
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (3).MP4,HE COMING TODAY,2,ISL_0106_S2
what do you think,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (4).MP4, DO YOU THINK WHAT,1,ISL_0389_S1
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (4).MP4,I SITTING CLASS,5,ISL_0196_S5
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (5).MP4,I TRUST YOU HOW ,2,ISL_0132_S2
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (3).MP4,I GOT HURT,6,ISL_0246_S6
i am really grateful,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am really grateful\MVI_6395.MP4,I REALLY GRATEFUL,3,ISL_0190_S3
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (5).MP4,I GOT HURT,0,ISL_0248_S0
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (3).MP4,YOU WANT WHAT ,0,ISL_0409_S0
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (3).MP4,I TIRED,5,ISL_0210_S5
what do you do,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (4).MP4,YOU DO WHAT ,6,ISL_0385_S6
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt (3).MP4, SHIRT WEAR,0,ISL_0369_S0
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4,YOU REPEAT PLEASE,0,ISL_0026_S0
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,DO  FAVOUR ME,6,ISL_0045_S6
i am feeling cold,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\cold (3).MP4,I FEEL COLD,2,ISL_0165_S2
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (2).MP4,I FEVER SUFFERING  ,4,ISL_0204_S4
"you need a medicine, take this one","ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine.MP4","YOU NEED A MEDICINE, TAKE THIS ONE",4,ISL_0471_S4
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,YOU WANT WHAT ,0,ISL_0411_S0
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (4).MP4, YOU CRY WHY,5,ISL_0434_S5
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (3).MP4,BRING WATER ME,3,ISL_0012_S3
it was nice chatting with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\it was nice chatting with you\MVI_6107.MP4,YOU CHAT NICE,5,ISL_0280_S5
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,YOU HIDE SOMETHING,3,ISL_0010_S3
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\cannot help.MP4,I HELP YOU,5,ISL_0016_S5
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,I TIRED,3,ISL_0212_S3
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (2).MP4,LET HIM TAKE TIME,5,ISL_0285_S5
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (3).MP4,YOU FROM WHERE ,4,ISL_0419_S4
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (4).MP4,HELP ME,2,ISL_0112_S2
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (1).MP4,YOU FROM WHERE ,3,ISL_0418_S3
hi how are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\hi how are you\hi how are you (4).MP4,HI HOW YOU,5,ISL_0116_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (3).MP4,YOU WANT WHAT ,4,ISL_0409_S4
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (4).MP4,DONOT WORRY,0,ISL_0068_S0
had your food,ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (3).MP4, FOOD HAD,3,ISL_0082_S3
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care.MP4","YOU DO ANYTHING, I DONOT CARE",6,ISL_0466_S6
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (3).MP4,YOU GOOD,3,ISL_0449_S3
i do not agree,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (3).MP4,I AGREE DONOT ,6,ISL_0224_S6
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care (2).MP4","YOU DO ANYTHING, I DONOT CARE",3,ISL_0465_S3
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (3).MP4,CONGRATULATIIONS,0,ISL_0032_S0
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (2).MP4,MY NAME XXXXXXXX,3,ISL_0291_S3
i am hungry,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (3).MP4,I HUNGRY,5,ISL_0174_S5
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\MVI_6495.MP4,HAPPENED WHAT ,1,ISL_0401_S1
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (4).MP4,YOU BAD,5,ISL_0444_S5
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happened (3).MP4,HAPPENED WHAT ,1,ISL_0399_S1
No need to worry dont worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\No need to worry dont worry\MVI_6496.MP4,NO NEED WORRY DONT WORRY,6,ISL_0300_S6
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve 1.MP4,FOOD SERVE ,1,ISL_0320_S1
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry.MP4,YOU ANGRY DONOT,0,ISL_0059_S0
